20001018,10.5,10.77,10.5,10.5,0,0
20001018,10.52,10.79,10.52,10.52,0,0
xxxx9,10.53,10.8,10.53,10.53,0,0
20001020,10.53,10.8,10.53,10.53,0,0
20001023,10.5,10.77,10.5,10.5,44,0
xxxxx
20001025,10.51,10.78,10.51,10.51,0,0
20001026,10.52,10.79,10.52,10.52,0,0
20001027,10.52,10.79,10.52,10.52,0,0
20001030,10.53,10.8,10.53,10.53,0,0
20001031,10.53,10.8,10.53,10.53,0,0
20001101,10.53,10.8,10.53,10.53,0,0
20001102,10.53,10.8,10.53,10.53,0,0
20001103,10.52,10.79,10.52,10.52,0,0
20001106,10.52,10.79,10.52,10.52,0,0
20001107,10.5,10.77,10.5,10.5,0,0
aaaaaa,10.51,10.78,10.51,10.51,0,0
20001110,10.51,10.78,10.51,10.51,0,0
20001113,10.52,10.79,10.52,10.52,0,0
20001114,10.52,10.79,10.52,10.52,0,0
20001115,10.54,10.81,10.54,10.54,0,0
20001116,10.54,10.81,10.54,yyy,0,0
20001117,10.54,10.81,10.54,10.54,0,0
20001120,10.55,10.82,10.55,10.55,0,0
20001121,xyz.51,10.78,10.51,10.51,43,0
20001122,10.52,10.79,10.52,10.52,0,0
20001124,10.53,10.8,10.53,10.53,0,0
20001127,10.53,10.8,10.53,10.53,0,0
20001128,10.53,tttt,10.53,10.53,0,0
20001129,10.55,10.82,10.55,10.55,0,0
20001130,10.58,10.85,10.58,10.58,0,0
20001201,10.58,10.85,10.58,10.58,0,0
20001204,10.59,10.86,10.59,10.59,0,0
20001205,10.62,10.89,10.62,10.62,0,0
abcd,10.66,10.93,10.66,10.66,0,0
20001207,10.68,10.95,10.68,10.68,0,0
20001208,10.69,10.96,10.69,10.69,0,0
20001211,10.69,10.96,10.69,10.69,0,0
20001212,10.7,10.97,10.7,10.7,0,0
20001213,10.73,11.01,10.73,10.73,0,0
20001214,10.77,11.05,10.77,10.77,0,0
20001215,10.79,11.07,10.79,10.79,0,0
20001218,10.8,11.08,10.8,10.8,0,0
20001219,10.81,11.09,10.81,10.81,0,0
